epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
60	scene 4	2.1600	0.7180	0.7800	0.7610	0.7110	0.7210	0.7210
61	total scene	2.2740	0.7690	0.8200	0.8200	0.7750	0.7730	0.7860
61	scene 1	2.1580	0.6580	0.7630	0.7850	0.6730	0.6770	0.7010
61	scene 2	2.1580	0.7220	0.8120	0.8160	0.7110	0.7250	0.7500
61	scene 3	2.1580	0.7340	0.8100	0.7490	0.7360	0.7510	0.7670
61	scene 4	2.1580	0.7180	0.7810	0.8040	0.7120	0.7210	0.7210
62	total scene	2.2720	0.7690	0.8210	0.8170	0.7750	0.7730	0.7870
62	scene 1	2.1570	0.6570	0.7590	0.5510	0.6710	0.6770	0.7000
62	scene 2	2.1570	0.7230	0.8130	0.8120	0.7120	0.7250	0.7500
62	scene 3	2.1570	0.7330	0.8130	0.7590	0.7370	0.7510	0.7670
62	scene 4	2.1570	0.7180	0.7800	0.7900	0.7120	0.7210	0.7210
63	total scene	2.2710	0.7690	0.8220	0.8240	0.7750	0.7730	0.7870
63	scene 1	2.1550	0.6570	0.7610	0.6700	0.6730	0.6770	0.7000
63	scene 2	2.1550	0.7220	0.8140	0.8210	0.7110	0.7250	0.7500
63	scene 3	2.1550	0.7340	0.8100	0.7590	0.7370	0.7510	0.7670
63	scene 4	2.1550	0.7180	0.7860	0.7860	0.7120	0.7210	0.7210
64	total scene	2.2730	0.7690	0.8240	0.8230	0.7750	0.7730	0.7870
64	scene 1	2.1540	0.6590	0.7660	0.7420	0.6740	0.6780	0.7000
64	scene 2	2.1540	0.7220	0.8160	0.8190	0.7120	0.7250	0.7500
64	scene 3	2.1540	0.7340	0.8110	0.7540	0.7370	0.7510	0.7670
64	scene 4	2.1540	0.7190	0.7860	0.7900	0.7120	0.7210	0.7210
65	total scene	2.2740	0.7690	0.8250	0.8240	0.7750	0.7730	0.7870
65	scene 1	2.1530	0.6590	0.7670	0.7750	0.6740	0.6790	0.6990
65	scene 2	2.1530	0.7220	0.8170	0.8210	0.7110	0.7250	0.7500
65	scene 3	2.1530	0.7330	0.8100	0.7500	0.7360	0.7500	0.7670
65	scene 4	2.1530	0.7190	0.7870	0.7930	0.7120	0.7210	0.7210
66	total scene	2.2720	0.7690	0.8250	0.8220	0.7750	0.7720	0.7860
66	scene 1	2.1510	0.6580	0.7630	0.6560	0.6730	0.6780	0.7010
