epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
38	scene 1	2.4820	0.5540	0.4800	0.6810	0.5600	0.5700	0.5990
38	scene 2	2.4820	0.6250	0.5170	0.5400	0.6130	0.6340	0.6480
38	scene 3	2.4820	0.6360	0.5240	0.5540	0.6340	0.6480	0.6560
38	scene 4	2.4820	0.6120	0.5410	0.5720	0.6080	0.6230	0.6230
39	total scene	2.4880	0.6950	0.5710	0.5830	0.7020	0.7000	0.7040
39	scene 1	2.4790	0.5490	0.5400	0.4080	0.5440	0.5660	0.5900
39	scene 2	2.4790	0.6270	0.5190	0.5360	0.6160	0.6360	0.6510
39	scene 3	2.4790	0.6400	0.5570	0.5410	0.6440	0.6590	0.6700
39	scene 4	2.4790	0.6130	0.5520	0.5350	0.6100	0.6250	0.6250
40	total scene	2.4880	0.6950	0.5780	0.6000	0.7020	0.7000	0.7040
40	scene 1	2.4750	0.5530	0.5080	0.4610	0.5590	0.5700	0.5980
40	scene 2	2.4750	0.6270	0.5300	0.5560	0.6160	0.6360	0.6510
40	scene 3	2.4750	0.6500	0.5060	0.5150	0.6460	0.6600	0.6660
40	scene 4	2.4750	0.6110	0.5500	0.5900	0.6080	0.6220	0.6220
41	total scene	2.4840	0.6970	0.5780	0.5830	0.7030	0.7020	0.7050
41	scene 1	2.4710	0.5520	0.5410	0.2060	0.5630	0.5810	0.6080
41	scene 2	2.4710	0.6300	0.5270	0.5310	0.6180	0.6390	0.6530
41	scene 3	2.4710	0.6400	0.5370	0.5120	0.6350	0.6490	0.6590
41	scene 4	2.4710	0.6130	0.5680	0.6150	0.6080	0.6250	0.6250
42	total scene	2.4770	0.7010	0.5780	0.5920	0.7070	0.7050	0.7080
42	scene 1	2.4670	0.5650	0.5580	0.2930	0.5640	0.5780	0.6050
42	scene 2	2.4670	0.6350	0.5280	0.5410	0.6240	0.6430	0.6570
42	scene 3	2.4670	0.6390	0.5620	0.5640	0.6420	0.6520	0.6590
42	scene 4	2.4670	0.6110	0.5530	0.5910	0.6070	0.6220	0.6220
43	total scene	2.4720	0.7010	0.5750	0.6000	0.7080	0.7070	0.7100
43	scene 1	2.4650	0.5590	0.5600	0.7570	0.5660	0.5820	0.5990
43	scene 2	2.4650	0.6350	0.5250	0.5440	0.6240	0.6450	0.6590
43	scene 3	2.4650	0.6490	0.5200	0.5600	0.6510	0.6600	0.6730
43	scene 4	2.4650	0.6130	0.5610	0.6740	0.6090	0.6230	0.6230
44	total scene	2.4820	0.7020	0.5690	0.5880	0.7080	0.7070	0.7110
44	scene 1	2.4610	0.5520	0.4940	0.5420	0.5480	0.5690	0.6040
44	scene 2	2.4610	0.6360	0.5180	0.5330	0.6230	0.6450	0.6590
44	scene 3	2.4610	0.6460	0.5140	0.5530	0.6490	0.6600	0.6710
44	scene 4	2.4610	0.6180	0.5610	0.6340	0.6170	0.6280	0.6280
45	total scene	2.4760	0.7020	0.5740	0.6050	0.7080	0.7070	0.7110
45	scene 1	2.4580	0.5520	0.5210	0.1520	0.5560	0.5690	0.5840
45	scene 2	2.4580	0.6360	0.5250	0.5700	0.6240	0.6450	0.6610
45	scene 3	2.4580	0.6470	0.5030	0.4660	0.6440	0.6630	0.6700
45	scene 4	2.4580	0.6180	0.5530	0.5780	0.6140	0.6300	0.6300
46	total scene	2.4700	0.7030	0.5750	0.5830	0.7090	0.7070	0.7110
46	scene 1	2.4550	0.5480	0.5010	0.6230	0.5550	0.5670	0.5940
46	scene 2	2.4550	0.6370	0.5260	0.5270	0.6260	0.6450	0.6600
46	scene 3	2.4550	0.6400	0.4970	0.5010	0.6400	0.6470	0.6630
46	scene 4	2.4550	0.6150	0.5510	0.6890	0.6140	0.6290	0.6290
47	total scene	2.4700	0.7050	0.5690	0.6220	0.7110	0.7110	0.7150
47	scene 1	2.4520	0.5590	0.5050	0.6510	0.5640	0.5720	0.5900
47	scene 2	2.4520	0.6400	0.5200	0.5890	0.6280	0.6500	0.6640
47	scene 3	2.4520	0.6440	0.5460	0.4860	0.6480	0.6620	0.6720
47	scene 4	2.4520	0.6190	0.5180	0.5960	0.6190	0.6320	0.6320
48	total scene	2.4620	0.7050	0.5800	0.6000	0.7120	0.7110	0.7140
48	scene 1	2.4490	0.5420	0.5060	0.0960	0.5430	0.5580	0.5840
48	scene 2	2.4490	0.6400	0.5320	0.5560	0.6290	0.6490	0.6630
48	scene 3	2.4490	0.6510	0.5410	0.5190	0.6560	0.6700	0.6770
48	scene 4	2.4490	0.6170	0.5510	0.5980	0.6150	0.6300	0.6300
49	total scene	2.4580	0.7060	0.5760	0.6050	0.7130	0.7120	0.7160
49	scene 1	2.4470	0.5590	0.4810	0.4450	0.5650	0.5750	0.5960
49	scene 2	2.4470	0.6410	0.5280	0.5600	0.6300	0.6510	0.6650
49	scene 3	2.4470	0.6490	0.5070	0.5160	0.6540	0.6660	0.6760
49	scene 4	2.4470	0.6230	0.5460	0.6100	0.6230	0.6350	0.6350
50	total scene	2.4510	0.7100	0.5860	0.6160	0.7150	0.7150	0.7190
50	scene 1	2.4430	0.5650	0.5450	0.1730	0.5750	0.5850	0.6180
50	scene 2	2.4430	0.6460	0.5400	0.5720	0.6330	0.6540	0.6690
50	scene 3	2.4430	0.6550	0.5450	0.4940	0.6550	0.6730	0.6820
50	scene 4	2.4430	0.6220	0.5340	0.7490	0.6190	0.6350	0.6350
51	total scene	2.4530	0.7080	0.5880	0.5860	0.7140	0.7140	0.7180
51	scene 1	2.4400	0.5590	0.5170	0.8280	0.5740	0.5860	0.6140
51	scene 2	2.4400	0.6430	0.5400	0.5280	0.6310	0.6530	0.6680
51	scene 3	2.4400	0.6500	0.5560	0.4840	0.6500	0.6620	0.6710
51	scene 4	2.4400	0.6290	0.5710	0.7650	0.6280	0.6410	0.6410
52	total scene	2.4510	0.7100	0.5790	0.6030	0.7160	0.7150	0.7190
52	scene 1	2.4390	0.5560	0.5250	0.6380	0.5670	0.5850	0.6110
52	scene 2	2.4390	0.6440	0.5320	0.5730	0.6330	0.6530	0.6670
52	scene 3	2.4390	0.6620	0.5280	0.4360	0.6640	0.6800	0.6890
52	scene 4	2.4390	0.6310	0.5430	0.6040	0.6290	0.6410	0.6410
53	total scene	2.4510	0.7110	0.5890	0.6060	0.7170	0.7170	0.7210
53	scene 1	2.4350	0.5650	0.5280	0.1550	0.5730	0.5810	0.6120
53	scene 2	2.4350	0.6460	0.5410	0.5680	0.6350	0.6560	0.6710
53	scene 3	2.4350	0.6650	0.5690	0.4860	0.6580	0.6750	0.6820
53	scene 4	2.4350	0.6200	0.5750	0.6090	0.6190	0.6350	0.6350
54	total scene	2.4480	0.7100	0.5760	0.6380	0.7160	0.7160	0.7210
54	scene 1	2.4320	0.5660	0.5330	0.7240	0.5770	0.5880	0.6140
54	scene 2	2.4320	0.6450	0.5280	0.6030	0.6340	0.6540	0.6700
54	scene 3	2.4320	0.6590	0.5530	0.5170	0.6610	0.6730	0.6800
54	scene 4	2.4320	0.6270	0.5380	0.6540	0.6230	0.6370	0.6370
55	total scene	2.4520	0.7090	0.5840	0.5720	0.7160	0.7160	0.7200
